Event,year,Amount stolen,Source
EtherwrappedRugContract,2021,"$12,000,000 ",https://cryptobriefing.com/ethereum-project-airdrops-scam-token-then-pulls-the-rug/
Yearn (yDai) Exploiter,2021,"$11,000,000 ",https://decrypt.co/56659/14-million-gone-in-yearn-finance-exploit
SaturnbeamFiRugPull,2021,"$10,000,000 ",https://gist.github.com/marsrobertson/f170d6c4e1b22df51118b5b3cf3e6a6c
MultisigExploitHacker,2017,"$30,000,000 ",https://blog.openzeppelin.com/on-the-parity-wallet-multisig-hack-405a8c12e8f7/
NexusMutualHacker,2020,"$2,600,000 ",https://decrypt.co/51650/the-nexus-mutual-hacker-is-asking-for-2-6-million-in-ethereum
Visor Finance Exploiter,2021,"$8,100,000 ",https://beincrypto.com/visor-finance-hacked-for-8m-in-latest-defi-exploit/
AFKSystem,2021,"$8,000,000 ",https://www.publish0x.com/make-money-private-again/afk-systems-con-job-and-safety-of-defi-protocols-xrnpoke
PlusTokenPonzi,2019,"$2,000,000,000 ",https://blog.chainalysis.com/reports/plustoken-scam-bitcoin-price/
DAOMaker Exploiter,2021,"$7,000,000 ",https://www.coindesk.com/markets/2021/08/12/crypto-fundraising-dao-loses-over-7m-in-latest-crypto-exploit/
PunkProtocolExploiter,2021,"$3,950,000 ",https://rekt.news/punkprotocol-rekt/
MetaDAORug,2021,"$3,200,000 ",https://cryptobriefing.com/metadao-makes-off-with-3-2m-in-rug-pull/
MisoFrontEndExploiter,2021,"$3,000,000 ",https://arstechnica.com/information-technology/2021/09/cryptocurrency-launchpad-hit-by-3-million-supply-chain-attack/
PancakeHunnyExploiter,2021,"$2,000,000 ",https://cointelegraph.com/news/pancakebunny-tanks-96-following-200m-flash-loan-exploit
BrincFinanceExploiter,2021,"$1,100,000 ",https://beosin.medium.com/brinc-finance-was-attacked-due-to-private-key-leakage-resulting-in-the-loss-of-290-eth-6758cb810bce
NowSwapExploiter,2021,"$1,000,000 ",https://www.halborn.com/blog/post/explained-the-nowswap-protocol-hack-september-2021
Vesper Finance VUSD Exploiter,2021,"$1,000,000 ",https://twitter.com/VesperFi/status/1476713007526957065
SpankChainHacker,2018,"$40,000 ",https://www.coindesk.com/markets/2018/10/09/spankchain-loses-40k-in-hack-due-to-smart-contract-bug/
Wault Finance Exploiter,2021,"$800,000 ",https://twitter.com/PolygonNews_/status/1422747092980670467
Upbit Hacker 1,2019,"$49,000,000 ",https://upbit.com/service_center/notice?id=1085
ImpossibleFinanceExploiter,2021,"$500,000 ",https://watchpug.medium.com/impossible-finance-exploit-root-cause-analysis-ba0ed7c151e4
ForceVaultHacker,2021,"$376,000 ",https://chubk.com/force-dao-was-attacked-by-hacker-force-price-immediately-dropped-by-more-than-90/
SashimiSwapExploiter,2021,"$210,000 ",https://www.certik.com/zh-CN/resources/blog/5oR0Gztxndo3YZcdcWxPzZ-sashimi-swap-exploit
0xhabitat.eth Multisig Drainer,2021,"$123,983.57 ",https://slowmist.medium.com/gnosis-safe-multisig-user-incident-analysis-9a270b8e1452
RUNETokenExploiter,2021,"$76,000 ",https://ultcoin365.com/zh/by-giving-up-free-tokens-a-clever-attacker-takes-76000-in-rune/
Warp.Finance Hacker,2020,"$7,700,000 ",https://www.theblockcrypto.com/linked/88415/defi-warp-finance-attacked-lost-7-7-million-stablecoins
BELLEHoneypotRugPull,2021,,https://twitter.com/willmorriss4/status/1459363637940801542
ChainPortExploiter,2021,,https://medium.com/chainport/chainport-security-breach-report-c16a636f1a70
MommyMilkersHoneypotToken,2021,,https://cn.thebittimes.com/token-MILKERS-BSC-0x428a8ee96954e87ca6527717ec34ec0e5ada8ec7.html
